citing_paper_id,cited_paper_id,edge_source,edge_is_biased,citing_publication_year,biased_group_id_x,cited_publication_year,biased_group_id_y
944,543,base,0,2022,-1,2014,-1
561,853,base,0,2022,-1,2021,-1
967,353,base,0,2023,-1,2010,-1
169,271,base,0,2016,-1,2011,-1
236,392,base,0,2019,-1,2015,-1
462,909,base,0,2018,-1,2015,-1
302,764,base,0,2012,-1,2011,-1
53,974,base,0,2016,-1,2014,-1
278,343,base,0,2016,-1,2012,-1
300,445,base,0,2020,-1,2015,-1
279,127,base,0,2020,-1,2017,-1
486,460,base,0,2021,-1,2017,-1
895,380,base,0,2020,-1,2013,-1
148,392,base,0,2016,-1,2015,-1
166,379,base,0,2019,-1,2014,-1
327,914,base,0,2019,-1,2010,-1
116,26,base,0,2018,-1,2011,-1
557,923,base,0,2017,-1,2010,-1
610,718,base,0,2013,-1,2012,-1
943,347,base,0,2022,-1,2015,-1
663,349,base,0,2022,-1,2010,-1
279,850,base,0,2020,-1,2019,-1
738,448,base,0,2023,-1,2017,-1
301,226,base,0,2013,-1,2012,-1
446,620,base,0,2019,-1,2011,-1
594,567,base,0,2016,-1,2012,-1
434,80,base,0,2021,-1,2017,-1
105,728,base,0,2014,-1,2013,-1
531,667,base,0,2019,-1,2013,-1
171,620,base,0,2018,-1,2011,-1
972,773,base,0,2016,-1,2015,-1
838,167,base,0,2018,-1,2016,-1
519,75,base,0,2013,-1,2012,-1
922,610,base,0,2021,-1,2013,-1
584,426,base,0,2021,-1,2018,-1
781,774,base,0,2015,-1,2013,-1
619,157,base,0,2021,-1,2020,-1
467,564,base,0,2019,-1,2015,-1
736,269,base,0,2019,-1,2012,-1
128,805,base,0,2020,-1,2018,-1
805,321,base,0,2018,-1,2016,-1
583,624,base,0,2014,-1,2010,-1
211,852,base,0,2019,-1,2015,-1
410,924,base,0,2021,-1,2014,-1
71,282,base,0,2016,-1,2010,-1
501,108,base,0,2019,-1,2014,-1
676,887,base,0,2017,-1,2012,-1
636,628,base,0,2021,-1,2014,-1
113,290,base,0,2021,-1,2020,-1
587,291,base,0,2014,-1,2010,-1
168,263,base,0,2023,-1,2021,-1
426,620,base,0,2018,-1,2011,-1
853,556,base,0,2021,-1,2018,-1
666,276,base,0,2017,-1,2016,-1
136,45,base,0,2014,-1,2012,-1
187,285,base,0,2020,-1,2014,-1
475,51,base,0,2021,-1,2014,-1
453,677,base,0,2016,-1,2012,-1
648,116,base,0,2019,-1,2018,-1
122,7,base,0,2018,-1,2016,-1
361,246,base,0,2023,-1,2010,-1
497,835,base,0,2023,-1,2013,-1
383,976,base,0,2016,-1,2011,-1
987,928,base,0,2023,-1,2014,-1
975,31,base,0,2023,-1,2019,-1
