citing_paper_id,cited_paper_id,citing_publication_year,cited_publication_year
1304,885,2013,2002
3063,1323,2023,2019
807,2575,2022,2022
4440,340,2017,2016
2356,647,2023,2002
4642,3777,2023,2003
4673,2537,2022,2010
3973,3931,2021,2011
1359,1159,2008,2003
2977,3795,2021,2013
2346,1992,2020,2002
3687,2153,2021,2005
370,4954,2022,2015
2057,4123,2003,2003
3855,531,2019,2009
322,1110,2021,2001
1847,673,2016,2004
2548,885,2017,2002
329,371,2007,2001
2616,3698,2022,2011
2594,3124,2009,2007
3846,1019,2016,2001
694,2536,2015,2005
3399,4886,2022,2022
4902,3859,2018,2013
4618,3963,2018,2012
590,3493,2011,2008
4828,1761,2008,2005
2612,4891,2016,2000
4486,2676,2023,2004
3960,4289,2012,2006
1038,2119,2017,2007
1897,1388,2022,2007
4235,2564,2023,2003
1488,2858,2015,2003
577,4710,2008,2003
1833,2067,2019,2014
1208,1641,2016,2008
2837,3640,2023,2009
101,1018,2023,2011
280,3154,2021,2011
2640,3499,2015,2009
400,22,2014,2005
4818,4579,2016,2014
465,4915,2018,2015
3406,3735,2015,2012
1437,535,2008,2006
3557,551,2006,2002
3238,75,2005,2003
4493,2153,2018,2005
2745,144,2020,2012
426,2802,2019,2004
2589,972,2020,2001
4653,4216,2020,2010
2250,2829,2013,2001
3720,3121,2007,2007
851,1684,2023,2015
3245,2036,2019,2014
4405,4548,2008,2004
3020,424,2018,2005
2371,943,2008,2004
3672,1649,2020,2008
1751,4585,2013,2005
1926,3023,2013,2008
3937,285,2020,2010
2928,4784,2012,2008
3393,3876,2016,2001
2571,4810,2019,2001
83,1463,2020,2016
4883,2078,2014,2000
1951,2390,2021,2011
3088,3126,2016,2009
1954,1638,2008,2004
203,1469,2023,2015
1592,2751,2010,2008
4606,3935,2021,2014
4441,481,2016,2000
1173,4639,2008,2003
4228,1087,2011,2006
816,4308,2022,2018
4256,850,2020,2004
2552,1357,2022,2012
1475,1392,2022,2020
3066,2451,2005,2000
1872,2204,2021,2020
1564,3133,2016,2002
2184,676,2020,2018
1439,4969,2020,2008
1951,1900,2021,2007
2876,4960,2017,2012
4394,4342,2015,2004
2844,3945,2009,2004
34,3396,2018,2007
3456,2928,2020,2012
4104,3403,2010,2007
1031,4625,2023,2009
3261,2260,2023,2009
4942,1609,2022,2016
2744,3343,2023,2008
86,1956,2017,2009
2533,1158,2013,2011
235,2377,2008,2003
1890,2198,2007,2007
1266,1150,2019,2019
1807,602,2017,2013
676,1559,2018,2009
