citing_paper_id,cited_paper_id,edge_source,edge_is_biased,citing_publication_year,biased_group_id_x,cited_publication_year,biased_group_id_y
1304,885,base,0,2013,-1,2002,-1
3063,1323,base,0,2023,-1,2019,-1
807,2575,bias,1,2022,13,2022,13
4440,340,base,0,2017,-1,2016,-1
2356,647,base,0,2023,-1,2002,-1
4642,3777,base,0,2023,-1,2003,-1
4673,2537,base,0,2022,-1,2010,-1
3973,3931,base,0,2021,-1,2011,-1
1359,1159,base,0,2008,-1,2003,-1
2977,3795,base,0,2021,-1,2013,-1
2346,1992,base,0,2020,-1,2002,-1
3687,2153,base,0,2021,-1,2005,-1
370,4954,base,0,2022,-1,2015,-1
2057,4123,bias,1,2003,0,2003,0
3855,531,base,0,2019,-1,2009,-1
322,1110,base,0,2021,-1,2001,-1
1847,673,base,0,2016,-1,2004,-1
2548,885,base,0,2017,-1,2002,-1
329,371,base,0,2007,-1,2001,-1
2616,3698,base,0,2022,-1,2011,-1
2594,3124,base,0,2009,-1,2007,-1
3846,1019,base,0,2016,-1,2001,-1
694,2536,base,0,2015,-1,2005,-1
3399,4886,bias,1,2022,13,2022,13
4902,3859,base,0,2018,-1,2013,-1
4618,3963,base,0,2018,-1,2012,-1
590,3493,base,0,2011,-1,2008,-1
4828,1761,base,0,2008,-1,2005,-1
2612,4891,base,0,2016,-1,2000,-1
4486,2676,base,0,2023,-1,2004,-1
3960,4289,base,0,2012,-1,2006,-1
1038,2119,base,0,2017,-1,2007,-1
1897,1388,base,0,2022,-1,2007,-1
4235,2564,base,0,2023,-1,2003,-1
1488,2858,base,0,2015,-1,2003,-1
577,4710,base,0,2008,-1,2003,-1
1833,2067,base,0,2019,-1,2014,-1
1208,1641,base,0,2016,-1,2008,-1
2837,3640,base,0,2023,-1,2009,-1
101,1018,base,0,2023,-1,2011,-1
280,3154,base,0,2021,-1,2011,-1
2640,3499,base,0,2015,-1,2009,-1
400,22,base,0,2014,-1,2005,-1
4818,4579,base,0,2016,-1,2014,-1
465,4915,base,0,2018,-1,2015,-1
3406,3735,base,0,2015,-1,2012,-1
1437,535,base,0,2008,-1,2006,-1
3557,551,base,0,2006,-1,2002,-1
3238,75,base,0,2005,-1,2003,-1
4493,2153,base,0,2018,-1,2005,-1
2745,144,base,0,2020,-1,2012,-1
426,2802,base,0,2019,-1,2004,-1
2589,972,base,0,2020,-1,2001,-1
4653,4216,base,0,2020,-1,2010,-1
2250,2829,base,0,2013,-1,2001,-1
3720,3121,bias,1,2007,9,2007,9
851,1684,base,0,2023,-1,2015,-1
3245,2036,base,0,2019,-1,2014,-1
4405,4548,base,0,2008,-1,2004,-1
3020,424,base,0,2018,-1,2005,-1
2371,943,base,0,2008,-1,2004,-1
3672,1649,base,0,2020,-1,2008,-1
1751,4585,base,0,2013,-1,2005,-1
1926,3023,base,0,2013,-1,2008,-1
3937,285,base,0,2020,-1,2010,-1
2928,4784,base,0,2012,-1,2008,-1
3393,3876,base,0,2016,-1,2001,-1
2571,4810,base,0,2019,-1,2001,-1
83,1463,base,0,2020,-1,2016,-1
4883,2078,base,0,2014,-1,2000,-1
1951,2390,base,0,2021,-1,2011,-1
3088,3126,base,0,2016,-1,2009,-1
1954,1638,base,0,2008,-1,2004,-1
203,1469,base,0,2023,-1,2015,-1
1592,2751,base,0,2010,-1,2008,-1
4606,3935,base,0,2021,-1,2014,-1
4441,481,base,0,2016,-1,2000,-1
1173,4639,base,0,2008,-1,2003,-1
4228,1087,base,0,2011,-1,2006,-1
816,4308,base,0,2022,-1,2018,-1
4256,850,base,0,2020,-1,2004,10
2552,1357,base,0,2022,-1,2012,-1
1475,1392,base,0,2022,-1,2020,-1
3066,2451,base,0,2005,-1,2000,-1
1872,2204,base,0,2021,-1,2020,3
1564,3133,base,0,2016,-1,2002,-1
2184,676,base,0,2020,-1,2018,-1
1439,4969,base,0,2020,-1,2008,-1
1951,1900,base,0,2021,-1,2007,-1
2876,4960,base,0,2017,-1,2012,-1
4394,4342,base,0,2015,-1,2004,-1
2844,3945,base,0,2009,-1,2004,-1
34,3396,base,0,2018,-1,2007,-1
3456,2928,base,0,2020,-1,2012,-1
4104,3403,base,0,2010,-1,2007,-1
1031,4625,base,0,2023,-1,2009,-1
3261,2260,base,0,2023,-1,2009,-1
4942,1609,base,0,2022,-1,2016,-1
2744,3343,base,0,2023,-1,2008,-1
86,1956,base,0,2017,-1,2009,-1
2533,1158,base,0,2013,-1,2011,-1
235,2377,base,0,2008,-1,2003,-1
1890,2198,bias,1,2007,6,2007,6
1266,1150,bias,1,2019,4,2019,4
1807,602,base,0,2017,-1,2013,-1
676,1559,base,0,2018,-1,2009,-1
