citing_paper_id,cited_paper_id,citing_publication_year,cited_publication_year
110,149,2017,2017
26,146,2019,2019
113,140,2019,2015
39,55,2023,2020
4,28,2021,2017
87,28,2020,2017
196,87,2020,2020
141,37,2017,2017
146,174,2019,2019
76,117,2022,2021
51,182,2016,2015
141,110,2017,2017
45,129,2017,2015
180,77,2020,2017
178,108,2018,2020
121,104,2023,2019
26,174,2019,2019
97,24,2020,2017
144,25,2022,2021
138,15,2023,2016
179,196,2020,2020
62,41,2022,2016
119,186,2020,2018
194,40,2023,2019
117,159,2021,2016
33,163,2023,2019
91,174,2019,2019
108,179,2020,2020
135,155,2021,2015
10,158,2022,2015
86,5,2021,2017
3,23,2019,2015
71,118,2021,2017
87,196,2020,2020
75,111,2022,2018
76,169,2022,2020
37,149,2017,2017
27,160,2023,2016
143,50,2020,2018
54,167,2018,2016
121,140,2023,2015
108,196,2020,2020
37,141,2017,2017
52,171,2020,2018
173,189,2022,2017
2,28,2022,2017
59,129,2022,2015
171,165,2018,2015
199,135,2022,2021
183,80,2023,2017
14,12,2019,2017
121,62,2023,2022
87,108,2020,2020
16,98,2022,2017
79,102,2022,2017
68,16,2023,2022
156,167,2022,2016
91,26,2019,2019
61,14,2023,2019
76,163,2022,2019
146,147,2019,2015
72,40,2023,2019
127,101,2021,2019
95,195,2017,2015
53,171,2020,2018
150,141,2021,2017
54,102,2018,2017
191,80,2018,2017
75,160,2022,2016
25,15,2021,2016
146,91,2019,2019
107,56,2023,2016
149,141,2017,2017
109,143,2021,2020
94,90,2019,2015
26,23,2019,2015
130,20,2023,2015
114,35,2021,2016
67,29,2023,2019
40,116,2019,2018
33,185,2023,2017
67,41,2023,2016
97,152,2020,2017
27,190,2023,2017
167,165,2016,2015
168,149,2019,2017
11,169,2022,2020
136,186,2020,2018
179,87,2020,2020
183,80,2023,2017
196,164,2020,2015
2,174,2022,2019
25,12,2021,2017
55,14,2020,2019
11,0,2022,2021
40,174,2019,2019
138,193,2023,2018
18,155,2016,2015
93,41,2022,2016
70,62,2023,2022
145,63,2023,2019
110,37,2017,2017
59,25,2022,2021
196,179,2020,2020
149,110,2017,2017
71,1,2021,2018
39,160,2023,2016
184,29,2020,2019
108,46,2020,2015
87,71,2020,2021
0,153,2021,2015
163,28,2019,2017
6,189,2021,2017
174,26,2019,2019
161,15,2020,2016
174,91,2019,2019
62,94,2022,2019
11,186,2022,2018
183,166,2023,2017
85,197,2023,2021
0,184,2021,2020
170,141,2021,2017
109,149,2021,2017
68,179,2023,2020
92,78,2021,2015
54,129,2018,2015
171,166,2018,2017
