citing_paper_id,cited_paper_id,edge_source,edge_is_biased,citing_publication_year,biased_group_id_x,cited_publication_year,biased_group_id_y
110,149,bias,1,2017,0,2017,0
26,146,bias,1,2019,1,2019,1
113,140,base,0,2019,-1,2015,-1
39,55,base,0,2023,-1,2020,-1
4,28,base,0,2021,-1,2017,-1
87,28,base,0,2020,2,2017,-1
196,87,bias,1,2020,2,2020,2
141,37,bias,1,2017,0,2017,0
146,174,bias,1,2019,1,2019,1
76,117,base,0,2022,-1,2021,-1
51,182,base,0,2016,-1,2015,-1
141,110,bias,1,2017,0,2017,0
45,129,base,0,2017,-1,2015,-1
180,77,base,0,2020,-1,2017,-1
178,108,base,0,2018,-1,2020,2
121,104,base,0,2023,-1,2019,-1
26,174,bias,1,2019,1,2019,1
97,24,base,0,2020,-1,2017,-1
144,25,base,0,2022,-1,2021,-1
138,15,base,0,2023,-1,2016,-1
179,196,bias,1,2020,2,2020,2
62,41,base,0,2022,-1,2016,-1
119,186,base,0,2020,-1,2018,-1
194,40,base,0,2023,-1,2019,-1
117,159,base,0,2021,-1,2016,-1
33,163,base,0,2023,-1,2019,-1
91,174,bias,1,2019,1,2019,1
108,179,bias,1,2020,2,2020,2
135,155,base,0,2021,-1,2015,-1
10,158,base,0,2022,-1,2015,-1
86,5,base,0,2021,-1,2017,-1
3,23,base,0,2019,-1,2015,-1
71,118,base,0,2021,-1,2017,-1
87,196,bias,1,2020,2,2020,2
75,111,base,0,2022,-1,2018,-1
76,169,base,0,2022,-1,2020,-1
37,149,bias,1,2017,0,2017,0
27,160,base,0,2023,-1,2016,-1
143,50,base,0,2020,-1,2018,-1
54,167,base,0,2018,-1,2016,-1
121,140,base,0,2023,-1,2015,-1
108,196,bias,1,2020,2,2020,2
37,141,bias,1,2017,0,2017,0
52,171,base,0,2020,-1,2018,-1
173,189,base,0,2022,-1,2017,-1
2,28,base,0,2022,-1,2017,-1
59,129,base,0,2022,-1,2015,-1
171,165,base,0,2018,-1,2015,-1
199,135,base,0,2022,-1,2021,-1
183,80,base,0,2023,-1,2017,-1
14,12,base,0,2019,-1,2017,-1
121,62,base,0,2023,-1,2022,-1
87,108,bias,1,2020,2,2020,2
16,98,base,0,2022,-1,2017,-1
79,102,base,0,2022,-1,2017,-1
68,16,base,0,2023,-1,2022,-1
156,167,base,0,2022,-1,2016,-1
91,26,bias,1,2019,1,2019,1
61,14,base,0,2023,-1,2019,-1
76,163,base,0,2022,-1,2019,-1
146,147,base,0,2019,1,2015,-1
72,40,base,0,2023,-1,2019,-1
127,101,base,0,2021,-1,2019,-1
95,195,base,0,2017,-1,2015,-1
53,171,base,0,2020,-1,2018,-1
150,141,base,0,2021,-1,2017,0
54,102,base,0,2018,-1,2017,-1
191,80,base,0,2018,-1,2017,-1
75,160,base,0,2022,-1,2016,-1
25,15,base,0,2021,-1,2016,-1
146,91,bias,1,2019,1,2019,1
107,56,base,0,2023,-1,2016,-1
149,141,bias,1,2017,0,2017,0
109,143,base,0,2021,-1,2020,-1
94,90,base,0,2019,-1,2015,-1
26,23,base,0,2019,1,2015,-1
130,20,base,0,2023,-1,2015,-1
114,35,base,0,2021,-1,2016,-1
67,29,base,0,2023,-1,2019,-1
40,116,base,0,2019,-1,2018,-1
33,185,base,0,2023,-1,2017,-1
67,41,base,0,2023,-1,2016,-1
97,152,base,0,2020,-1,2017,-1
27,190,base,0,2023,-1,2017,-1
167,165,base,0,2016,-1,2015,-1
168,149,base,0,2019,-1,2017,0
11,169,base,0,2022,-1,2020,-1
136,186,base,0,2020,-1,2018,-1
179,87,bias,1,2020,2,2020,2
183,80,base,0,2023,-1,2017,-1
196,164,base,0,2020,2,2015,-1
2,174,base,0,2022,-1,2019,1
25,12,base,0,2021,-1,2017,-1
55,14,base,0,2020,-1,2019,-1
11,0,base,0,2022,-1,2021,-1
40,174,base,0,2019,-1,2019,1
138,193,base,0,2023,-1,2018,-1
18,155,base,0,2016,-1,2015,-1
93,41,base,0,2022,-1,2016,-1
70,62,base,0,2023,-1,2022,-1
145,63,base,0,2023,-1,2019,-1
110,37,bias,1,2017,0,2017,0
59,25,base,0,2022,-1,2021,-1
196,179,bias,1,2020,2,2020,2
149,110,bias,1,2017,0,2017,0
71,1,base,0,2021,-1,2018,-1
39,160,base,0,2023,-1,2016,-1
184,29,base,0,2020,-1,2019,-1
108,46,base,0,2020,2,2015,-1
87,71,base,0,2020,2,2021,-1
0,153,base,0,2021,-1,2015,-1
163,28,base,0,2019,-1,2017,-1
6,189,base,0,2021,-1,2017,-1
174,26,bias,1,2019,1,2019,1
161,15,base,0,2020,-1,2016,-1
174,91,bias,1,2019,1,2019,1
62,94,base,0,2022,-1,2019,-1
11,186,base,0,2022,-1,2018,-1
183,166,base,0,2023,-1,2017,-1
85,197,base,0,2023,-1,2021,-1
0,184,base,0,2021,-1,2020,-1
170,141,base,0,2021,-1,2017,0
109,149,base,0,2021,-1,2017,0
68,179,base,0,2023,-1,2020,2
92,78,base,0,2021,-1,2015,-1
54,129,base,0,2018,-1,2015,-1
171,166,base,0,2018,-1,2017,-1
