citing_paper_id,cited_paper_id,citing_publication_year,cited_publication_year
3719,1261,2016,2000
698,4291,2023,2022
2003,378,2022,2010
2768,4866,2021,2006
223,2349,2016,2009
2925,553,2010,2003
1033,1274,2022,2017
4245,3768,2020,2018
740,3555,2016,2000
3341,43,2020,2008
2613,1054,2010,2004
363,3572,2002,2002
4850,72,2014,2011
913,2404,2022,2007
2483,4211,2012,2004
3603,2415,2018,2015
60,2305,2016,2015
279,3641,2023,2001
3079,2428,2023,2021
4016,4135,2021,2005
2107,3116,2022,2020
391,85,2019,2012
4835,3596,2021,2010
475,38,2011,2002
1304,885,2013,2002
3773,4398,2006,2004
121,2934,2022,2018
3589,2328,2016,2000
2411,446,2022,2020
1712,4407,2011,2001
3006,1092,2009,2006
3993,711,2021,2020
890,4446,2021,2007
876,2669,2014,2000
2548,885,2017,2002
1635,1923,2008,2002
4970,3170,2005,2002
322,4191,2021,2001
1854,4852,2005,2000
3971,3749,2021,2015
3623,49,2016,2008
1718,3876,2008,2001
4794,1987,2021,2009
100,1317,2007,2003
1506,4085,2019,2003
3129,4548,2011,2004
2612,930,2016,2014
2347,3799,2017,2010
3583,400,2018,2014
2967,2784,2009,2004
4364,3776,2017,2000
1365,1534,2012,2000
2758,820,2013,2004
726,4229,2011,2012
2004,4153,2014,2014
1801,1117,2014,2012
791,1375,2008,2008
3714,4886,2022,2015
4532,94,2022,2000
1354,3773,2008,2006
3953,3286,2017,2008
4673,3275,2022,2013
4862,2147,2007,2007
3880,3097,2016,2002
3843,4701,2020,2004
299,1697,2021,2004
2330,4580,2020,2001
1837,1229,2015,2008
3066,4185,2005,2001
612,4701,2009,2004
3855,1822,2019,2011
3152,3126,2018,2009
800,3580,2018,2007
3336,4125,2019,2017
200,378,2016,2010
45,2554,2017,2008
1764,3153,2022,2022
1233,1744,2021,2009
3120,167,2014,2011
3100,2992,2002,2017
3854,1898,2019,2011
4939,4260,2021,2017
1777,776,2022,2007
3720,4394,2018,2015
4377,4150,2020,2005
4481,3425,2018,2010
2173,35,2017,2011
3063,1323,2023,2019
4712,3613,2008,2008
2405,3716,2021,2010
2612,1808,2016,2014
2179,3301,2010,2007
3105,2681,2004,2003
4073,1525,2012,2011
4093,1764,2022,2022
4093,606,2022,2022
4641,1904,2018,2008
366,1942,2023,2022
500,2179,2022,2010
4577,2901,2019,2010
1183,1071,2021,2018
3509,4780,2020,2012
366,1277,2023,2000
2675,4420,2016,2012
162,3373,2009,2006
4135,2607,2005,2004
659,4911,2023,2013
2808,2673,2009,2002
495,3958,2012,2006
1511,1680,2006,2000
3459,1082,2015,2013
120,4043,2022,2009
2301,818,2023,2018
2671,2262,2018,2017
3678,3480,2021,2004
2883,4591,2023,2005
1946,4185,2011,2001
766,2050,2013,2007
2749,4181,2016,2005
239,743,2019,2001
4653,1306,2020,2015
1758,4660,2006,2004
1685,101,2004,2004
2453,3060,2017,2006
1770,4992,2003,2001
1117,238,2012,2002
3736,1453,2016,2011
398,2317,2018,2003
498,4492,2018,2018
203,1469,2023,2015
4289,2542,2006,2004
762,359,2009,2002
894,408,2023,2016
4236,4907,2019,2014
4701,3918,2004,2000
1945,785,2018,2011
3146,2609,2010,2003
1304,706,2013,2003
4473,4697,2009,2006
2185,1078,2014,2000
819,1686,2016,2000
3805,411,2012,2005
4944,2027,2019,2004
4163,3495,2011,2001
1138,4730,2019,2002
76,3754,2013,2002
2899,4305,2016,2007
4482,2377,2004,2003
2766,245,2021,2006
1069,2458,2011,2011
4331,2058,2022,2014
3514,3910,2007,2005
2897,4586,2017,2014
1295,247,2023,2008
790,1793,2016,2004
4573,3768,2021,2018
982,740,2018,2016
4856,4992,2012,2001
4534,1780,2021,2001
3798,4516,2014,2014
2318,2313,2009,2006
3569,4412,2018,2000
4355,3141,2011,2000
4573,920,2021,2011
3200,521,2020,2012
2692,3785,2021,2014
751,4345,2016,2006
3266,1071,2020,2018
688,2604,2004,2004
473,4258,2019,2003
235,4049,2008,2006
822,4270,2009,2004
3152,3628,2018,2004
4188,4557,2010,2009
4016,2677,2021,2019
811,1412,2019,2016
4367,2970,2018,2002
2763,1977,2011,2003
3660,2754,2007,2007
2654,4823,2016,2009
3457,2816,2012,2008
4059,2961,2020,2019
1031,4625,2023,2009
2245,3759,2020,2015
739,1841,2021,2020
1788,1731,2011,2001
4911,2690,2013,2004
4946,1430,2010,2002
262,471,2019,2016
1115,1460,2021,2004
4235,2564,2023,2003
3696,2916,2008,2006
1866,2853,2016,2006
3052,4712,2008,2008
1287,3064,2018,2014
2954,4752,2023,2004
3404,1325,2013,2009
1323,3619,2019,2016
4834,2719,2014,2001
724,1151,2009,2007
407,4706,2003,2003
4492,3338,2018,2018
276,2214,2015,2004
4758,3273,2022,2007
