citing_paper_id,cited_paper_id,edge_source,edge_is_biased,citing_publication_year,biased_group_id_x,cited_publication_year,biased_group_id_y
3719,1261,base,0,2016,-1,2000,-1
698,4291,base,0,2023,-1,2022,-1
2003,378,base,0,2022,-1,2010,-1
2768,4866,base,0,2021,-1,2006,-1
223,2349,base,0,2016,-1,2009,-1
2925,553,base,0,2010,-1,2003,-1
1033,1274,base,0,2022,-1,2017,-1
4245,3768,base,0,2020,-1,2018,-1
740,3555,base,0,2016,-1,2000,-1
3341,43,base,0,2020,-1,2008,-1
2613,1054,base,0,2010,-1,2004,-1
363,3572,base,0,2002,-1,2002,-1
4850,72,base,0,2014,-1,2011,-1
913,2404,base,0,2022,-1,2007,-1
2483,4211,base,0,2012,-1,2004,-1
3603,2415,base,0,2018,-1,2015,-1
60,2305,base,0,2016,-1,2015,-1
279,3641,base,0,2023,-1,2001,-1
3079,2428,base,0,2023,-1,2021,-1
4016,4135,base,0,2021,-1,2005,-1
2107,3116,base,0,2022,-1,2020,-1
391,85,base,0,2019,-1,2012,-1
4835,3596,base,0,2021,-1,2010,-1
475,38,base,0,2011,-1,2002,-1
1304,885,base,0,2013,-1,2002,-1
3773,4398,base,0,2006,-1,2004,-1
121,2934,base,0,2022,-1,2018,-1
3589,2328,base,0,2016,-1,2000,-1
2411,446,base,0,2022,-1,2020,-1
1712,4407,base,0,2011,-1,2001,-1
3006,1092,base,0,2009,-1,2006,-1
3993,711,base,0,2021,-1,2020,-1
890,4446,base,0,2021,-1,2007,-1
876,2669,base,0,2014,-1,2000,-1
2548,885,base,0,2017,-1,2002,-1
1635,1923,base,0,2008,-1,2002,-1
4970,3170,base,0,2005,-1,2002,-1
322,4191,base,0,2021,-1,2001,-1
1854,4852,base,0,2005,-1,2000,-1
3971,3749,base,0,2021,-1,2015,-1
3623,49,base,0,2016,-1,2008,-1
1718,3876,base,0,2008,-1,2001,-1
4794,1987,base,0,2021,-1,2009,-1
100,1317,base,0,2007,-1,2003,-1
1506,4085,base,0,2019,-1,2003,-1
3129,4548,base,0,2011,-1,2004,-1
2612,930,base,0,2016,-1,2014,-1
2347,3799,base,0,2017,-1,2010,-1
3583,400,base,0,2018,5,2014,-1
2967,2784,base,0,2009,-1,2004,-1
4364,3776,base,0,2017,-1,2000,-1
1365,1534,base,0,2012,-1,2000,-1
2758,820,base,0,2013,-1,2004,-1
726,4229,base,0,2011,-1,2012,-1
2004,4153,bias,1,2014,12,2014,12
1801,1117,base,0,2014,-1,2012,-1
791,1375,base,0,2008,17,2008,-1
3714,4886,base,0,2022,-1,2015,-1
4532,94,base,0,2022,-1,2000,-1
1354,3773,base,0,2008,-1,2006,-1
3953,3286,base,0,2017,-1,2008,-1
4673,3275,base,0,2022,-1,2013,-1
4862,2147,bias,1,2007,9,2007,9
3880,3097,base,0,2016,-1,2002,-1
3843,4701,base,0,2020,-1,2004,-1
299,1697,base,0,2021,-1,2004,-1
2330,4580,base,0,2020,-1,2001,-1
1837,1229,base,0,2015,-1,2008,-1
3066,4185,base,0,2005,-1,2001,-1
612,4701,base,0,2009,-1,2004,-1
3855,1822,base,0,2019,-1,2011,-1
3152,3126,base,0,2018,-1,2009,-1
800,3580,base,0,2018,-1,2007,-1
3336,4125,base,0,2019,-1,2017,-1
200,378,base,0,2016,-1,2010,-1
45,2554,base,0,2017,-1,2008,-1
1764,3153,bias,1,2022,13,2022,13
1233,1744,base,0,2021,-1,2009,-1
3120,167,base,0,2014,-1,2011,-1
3100,2992,base,0,2002,11,2017,-1
3854,1898,base,0,2019,-1,2011,-1
4939,4260,base,0,2021,-1,2017,-1
1777,776,base,0,2022,-1,2007,-1
3720,4394,base,0,2018,-1,2015,-1
4377,4150,base,0,2020,-1,2005,-1
4481,3425,base,0,2018,-1,2010,-1
2173,35,base,0,2017,-1,2011,-1
3063,1323,base,0,2023,-1,2019,-1
4712,3613,bias,1,2008,17,2008,17
2405,3716,base,0,2021,-1,2010,-1
2612,1808,base,0,2016,-1,2014,-1
2179,3301,base,0,2010,-1,2007,-1
3105,2681,base,0,2004,-1,2003,-1
4073,1525,base,0,2012,-1,2011,-1
4093,1764,bias,1,2022,13,2022,13
4093,606,bias,1,2022,13,2022,13
4641,1904,base,0,2018,-1,2008,-1
366,1942,base,0,2023,-1,2022,-1
500,2179,base,0,2022,-1,2010,-1
4577,2901,base,0,2019,-1,2010,-1
1183,1071,base,0,2021,-1,2018,-1
3509,4780,base,0,2020,-1,2012,-1
366,1277,base,0,2023,-1,2000,-1
2675,4420,base,0,2016,-1,2012,-1
162,3373,base,0,2009,-1,2006,-1
4135,2607,base,0,2005,-1,2004,-1
659,4911,base,0,2023,-1,2013,-1
2808,2673,base,0,2009,-1,2002,-1
495,3958,base,0,2012,-1,2006,-1
1511,1680,base,0,2006,-1,2000,-1
3459,1082,base,0,2015,-1,2013,-1
120,4043,base,0,2022,-1,2009,-1
2301,818,base,0,2023,-1,2018,-1
2671,2262,base,0,2018,-1,2017,-1
3678,3480,base,0,2021,-1,2004,-1
2883,4591,base,0,2023,-1,2005,-1
1946,4185,base,0,2011,-1,2001,-1
766,2050,base,0,2013,-1,2007,-1
2749,4181,base,0,2016,-1,2005,-1
239,743,base,0,2019,-1,2001,-1
4653,1306,base,0,2020,-1,2015,-1
1758,4660,base,0,2006,-1,2004,-1
1685,101,bias,1,2004,10,2004,10
2453,3060,base,0,2017,-1,2006,-1
1770,4992,base,0,2003,-1,2001,-1
1117,238,base,0,2012,-1,2002,-1
3736,1453,base,0,2016,-1,2011,-1
398,2317,base,0,2018,-1,2003,-1
498,4492,bias,1,2018,5,2018,5
203,1469,base,0,2023,-1,2015,-1
4289,2542,base,0,2006,-1,2004,-1
762,359,base,0,2009,-1,2002,-1
894,408,base,0,2023,-1,2016,-1
4236,4907,base,0,2019,1,2014,-1
4701,3918,base,0,2004,-1,2000,-1
1945,785,base,0,2018,-1,2011,-1
3146,2609,base,0,2010,-1,2003,-1
1304,706,base,0,2013,-1,2003,-1
4473,4697,base,0,2009,-1,2006,-1
2185,1078,base,0,2014,-1,2000,-1
819,1686,base,0,2016,-1,2000,-1
3805,411,base,0,2012,-1,2005,-1
4944,2027,base,0,2019,-1,2004,-1
4163,3495,base,0,2011,-1,2001,-1
1138,4730,base,0,2019,-1,2002,-1
76,3754,base,0,2013,-1,2002,-1
2899,4305,base,0,2016,-1,2007,-1
4482,2377,base,0,2004,-1,2003,-1
2766,245,base,0,2021,-1,2006,-1
1069,2458,bias,1,2011,19,2011,19
4331,2058,base,0,2022,-1,2014,-1
3514,3910,base,0,2007,-1,2005,-1
2897,4586,base,0,2017,-1,2014,-1
1295,247,base,0,2023,-1,2008,-1
790,1793,base,0,2016,-1,2004,-1
4573,3768,base,0,2021,-1,2018,-1
982,740,base,0,2018,-1,2016,-1
4856,4992,base,0,2012,-1,2001,-1
4534,1780,base,0,2021,-1,2001,-1
3798,4516,bias,1,2014,15,2014,15
2318,2313,base,0,2009,-1,2006,-1
3569,4412,base,0,2018,-1,2000,-1
4355,3141,base,0,2011,-1,2000,-1
4573,920,base,0,2021,-1,2011,-1
3200,521,base,0,2020,-1,2012,-1
2692,3785,base,0,2021,-1,2014,-1
751,4345,base,0,2016,-1,2006,-1
3266,1071,base,0,2020,-1,2018,-1
688,2604,bias,1,2004,8,2004,8
473,4258,base,0,2019,-1,2003,-1
235,4049,base,0,2008,-1,2006,-1
822,4270,base,0,2009,-1,2004,-1
3152,3628,base,0,2018,-1,2004,-1
4188,4557,base,0,2010,-1,2009,-1
4016,2677,base,0,2021,-1,2019,-1
811,1412,base,0,2019,-1,2016,-1
4367,2970,base,0,2018,-1,2002,-1
2763,1977,base,0,2011,-1,2003,-1
3660,2754,bias,1,2007,6,2007,6
2654,4823,base,0,2016,-1,2009,-1
3457,2816,base,0,2012,-1,2008,-1
4059,2961,base,0,2020,-1,2019,-1
1031,4625,base,0,2023,-1,2009,-1
2245,3759,base,0,2020,-1,2015,-1
739,1841,base,0,2021,-1,2020,-1
1788,1731,base,0,2011,-1,2001,-1
4911,2690,base,0,2013,-1,2004,-1
4946,1430,base,0,2010,-1,2002,-1
