citing_paper_id,cited_paper_id,citing_publication_year,cited_publication_year
190,70,2022,2021
513,482,2014,2010
256,423,2021,2021
76,160,2023,2012
303,222,2019,2018
452,353,2015,2010
249,467,2021,2019
271,390,2014,2014
270,118,2023,2022
211,430,2019,2010
259,217,2021,2021
277,313,2013,2011
215,440,2016,2010
197,408,2019,2010
51,448,2021,2021
3,422,2013,2013
594,567,2016,2012
575,337,2023,2014
575,278,2023,2016
16,178,2017,2010
393,494,2023,2012
238,53,2017,2016
122,7,2018,2016
70,240,2021,2015
128,324,2020,2012
312,233,2016,2014
117,549,2022,2010
563,286,2014,2013
46,39,2021,2019
572,324,2015,2012
562,482,2016,2010
328,105,2018,2014
410,52,2021,2012
359,6,2023,2014
554,231,2015,2015
566,543,2016,2014
338,166,2020,2019
109,435,2017,2010
391,246,2016,2010
530,370,2021,2015
476,452,2019,2015
499,217,2015,2021
556,386,2018,2010
425,63,2021,2019
510,527,2021,2013
109,343,2017,2012
116,353,2018,2010
460,379,2017,2014
108,305,2014,2012
322,258,2023,2010
475,577,2014,2014
460,525,2017,2016
87,254,2013,2010
431,258,2023,2010
423,510,2021,2021
74,3,2013,2013
52,258,2012,2010
239,482,2020,2010
31,146,2019,2011
476,262,2019,2011
484,117,2023,2022
217,259,2021,2021
46,225,2021,2018
497,29,2023,2010
20,589,2014,2013
566,295,2016,2015
372,381,2022,2017
509,440,2021,2010
583,519,2021,2021
236,392,2019,2015
265,253,2016,2012
340,136,2018,2014
290,258,2020,2010
553,256,2011,2021
584,451,2021,2011
423,259,2021,2021
141,256,2021,2021
521,409,2022,2014
464,418,2021,2021
359,457,2023,2011
58,377,2013,2010
50,464,2021,2021
480,271,2022,2014
317,572,2021,2015
592,40,2013,2021
271,214,2014,2014
31,93,2019,2011
492,218,2016,2010
42,323,2023,2019
125,138,2021,2016
521,505,2022,2019
473,423,2017,2021
290,80,2020,2017
223,3,2013,2013
41,179,2021,2013
231,34,2015,2015
405,281,2023,2020
591,233,2023,2014
279,446,2020,2019
543,522,2014,2013
250,415,2023,2010
466,329,2022,2013
89,432,2022,2015
361,519,2021,2021
466,424,2022,2012
132,406,2015,2015
345,302,2013,2012
538,557,2019,2017
2,399,2022,2015
512,552,2017,2010
74,592,2013,2013
2,289,2022,2015
326,247,2021,2019
114,77,2021,2010
308,415,2013,2010
565,300,2022,2020
583,361,2021,2021
376,447,2013,2012
102,423,2018,2021
193,244,2012,2010
293,78,2021,2013
558,300,2022,2020
3,223,2013,2013
344,134,2012,2010
517,440,2014,2010
214,475,2014,2014
372,441,2022,2012
273,163,2021,2012
551,277,2019,2013
538,457,2019,2011
41,31,2021,2019
502,454,2015,2011
306,344,2013,2012
576,311,2021,2017
51,583,2021,2021
126,465,2017,2016
279,127,2020,2017
423,256,2021,2021
317,472,2021,2018
199,371,2023,2012
40,366,2021,2011
301,226,2013,2012
89,327,2022,2019
514,172,2021,2019
12,587,2020,2014
525,163,2016,2012
60,234,2021,2010
182,519,2023,2021
27,85,2021,2014
19,552,2015,2010
321,58,2016,2013
388,344,2020,2012
437,320,2022,2011
247,416,2019,2010
418,255,2021,2021
587,414,2014,2012
156,77,2015,2010
238,517,2017,2014
359,151,2023,2017
198,357,2022,2017
469,146,2019,2011
251,88,2016,2015
165,552,2014,2010
271,475,2014,2014
338,483,2020,2017
583,252,2021,2011
74,9,2013,2012
348,475,2014,2014
519,552,2021,2010
561,0,2022,2016
299,129,2021,2012
406,132,2015,2015
144,358,2017,2013
179,132,2013,2015
467,577,2019,2014
361,51,2021,2021
453,304,2016,2012
464,379,2021,2014
514,382,2021,2017
316,347,2020,2015
241,395,2017,2015
273,460,2021,2017
518,271,2016,2014
581,86,2023,2019
135,357,2020,2017
505,448,2019,2021
296,81,2022,2013
83,596,2023,2019
448,51,2021,2021
3,74,2013,2013
448,361,2021,2021
39,481,2019,2013
276,570,2016,2012
117,557,2022,2017
393,473,2023,2017
472,288,2018,2015
293,483,2021,2017
85,348,2014,2014
175,546,2022,2018
495,353,2018,2010
462,123,2018,2017
224,332,2022,2011
570,26,2012,2011
63,461,2019,2010
91,587,2019,2014
95,223,2023,2013
260,3,2013,2013
214,271,2014,2014
217,256,2021,2021
449,127,2023,2017
335,226,2021,2012
437,527,2022,2013
406,545,2015,2015
478,130,2018,2010
46,38,2021,2020
74,223,2013,2013
170,454,2020,2011
361,448,2021,2021
425,179,2021,2013
40,316,2021,2020
429,551,2022,2019
319,360,2018,2012
347,226,2015,2012
61,101,2023,2021
166,185,2019,2016
475,543,2014,2014
97,320,2023,2011
221,238,2023,2017
497,70,2023,2021
493,302,2015,2012
83,278,2023,2016
65,487,2019,2012
51,553,2021,2011
540,428,2019,2017
486,74,2021,2013
394,590,2023,2010
520,82,2015,2011
484,390,2023,2014
65,424,2019,2012
46,590,2021,2010
390,479,2014,2013
270,517,2023,2014
281,599,2020,2013
111,254,2018,2010
554,36,2015,2010
337,96,2014,2013
132,432,2015,2015
546,244,2018,2010
317,527,2021,2013
475,348,2014,2014
588,75,2016,2012
38,179,2020,2013
229,28,2017,2014
592,3,2013,2013
296,38,2022,2020
591,320,2023,2011
551,269,2019,2012
456,56,2019,2016
444,353,2019,2010
102,140,2018,2018
497,452,2023,2015
46,255,2021,2021
83,429,2023,2022
49,51,2018,2021
523,118,2023,2022
10,529,2016,2011
198,376,2022,2013
446,503,2019,2010
296,335,2022,2021
256,510,2021,2021
42,460,2023,2017
237,295,2021,2015
545,132,2015,2015
140,261,2018,2011
255,124,2021,2010
407,556,2021,2018
475,271,2014,2014
592,223,2013,2013
574,332,2022,2011
449,536,2023,2012
95,433,2023,2012
538,116,2019,2018
256,217,2021,2021
231,132,2015,2015
418,464,2021,2021
202,435,2015,2010
53,358,2016,2013
475,214,2014,2014
528,127,2022,2017
573,416,2018,2010
88,67,2015,2011
150,25,2023,2015
311,504,2017,2013
445,161,2015,2014
309,14,2018,2014
241,371,2017,2012
426,191,2018,2016
373,243,2018,2013
539,315,2016,2010
509,597,2021,2015
597,315,2015,2010
464,50,2021,2021
593,329,2014,2013
271,85,2014,2014
550,218,2019,2010
516,461,2021,2010
501,152,2019,2014
352,131,2020,2017
2,283,2022,2015
467,136,2019,2014
113,511,2021,2010
47,332,2016,2011
194,256,2015,2021
382,347,2017,2015
259,423,2021,2021
405,317,2023,2021
316,184,2020,2016
496,244,2019,2010
323,122,2019,2018
101,376,2021,2013
348,286,2014,2013
43,294,2023,2020
109,566,2017,2016
194,260,2015,2013
245,59,2023,2018
53,159,2016,2010
243,331,2013,2010
71,282,2016,2010
478,510,2018,2021
292,433,2018,2012
330,230,2021,2020
151,440,2017,2010
110,391,2019,2016
195,19,2021,2015
421,254,2023,2010
245,248,2023,2013
314,163,2017,2012
59,593,2018,2014
224,141,2022,2021
477,529,2016,2011
554,406,2015,2015
259,16,2021,2017
6,163,2014,2012
241,105,2017,2014
231,554,2015,2015
452,218,2015,2010
307,519,2016,2021
486,17,2021,2017
114,63,2021,2019
593,459,2014,2010
179,415,2013,2010
190,14,2022,2014
321,244,2016,2010
185,146,2016,2011
219,349,2018,2010
561,332,2022,2011
255,50,2021,2021
223,74,2013,2013
564,132,2015,2015
592,74,2013,2013
102,75,2018,2012
161,50,2014,2021
281,450,2020,2017
550,223,2019,2013
335,88,2021,2015
125,465,2021,2016
177,470,2016,2012
319,332,2018,2011
99,403,2023,2011
387,80,2021,2017
194,163,2015,2012
465,90,2016,2011
148,133,2016,2012
519,567,2021,2012
166,181,2019,2013
260,592,2013,2013
348,214,2014,2014
187,285,2020,2014
168,263,2023,2021
456,436,2019,2013
585,392,2019,2015
273,562,2021,2016
581,197,2023,2019
519,51,2021,2021
470,261,2012,2011
69,32,2021,2015
150,447,2023,2012
464,46,2021,2021
273,348,2021,2014
389,461,2012,2010
480,452,2022,2015
406,231,2015,2015
488,331,2016,2010
214,85,2014,2014
348,147,2014,2010
132,545,2015,2015
540,370,2019,2015
220,344,2020,2012
168,165,2023,2014
195,87,2021,2013
27,424,2021,2012
68,93,2013,2011
250,543,2023,2014
346,53,2017,2016
85,214,2014,2014
545,231,2015,2015
15,366,2013,2011
99,51,2023,2021
555,62,2015,2011
365,69,2022,2021
112,426,2021,2018
117,167,2022,2016
166,379,2019,2014
117,414,2022,2012
50,255,2021,2021
473,255,2017,2021
205,142,2021,2016
410,274,2021,2019
203,77,2021,2010
472,260,2018,2013
495,283,2018,2015
294,559,2020,2014
37,406,2020,2015
157,510,2020,2021
44,325,2023,2016
106,595,2022,2019
215,255,2016,2021
551,495,2019,2018
19,470,2015,2012
404,353,2014,2010
110,441,2019,2012
217,510,2021,2021
324,491,2012,2011
100,62,2016,2011
531,212,2019,2016
388,284,2020,2017
283,533,2015,2012
273,337,2021,2014
510,217,2021,2021
149,262,2016,2011
514,56,2021,2016
519,361,2021,2021
589,21,2013,2011
583,448,2021,2021
454,291,2011,2010
302,313,2012,2011
114,25,2021,2015
575,108,2023,2014
83,383,2023,2016
273,84,2021,2015
519,75,2021,2012
370,470,2015,2012
69,240,2021,2015
149,297,2016,2012
92,444,2021,2019
479,77,2013,2010
59,572,2018,2015
489,116,2021,2018
208,420,2023,2022
6,360,2014,2012
545,406,2015,2015
46,50,2021,2021
44,420,2023,2022
230,116,2020,2018
39,111,2019,2018
546,129,2018,2012
2,418,2022,2021
540,433,2019,2012
255,46,2021,2021
362,433,2018,2012
175,345,2022,2013
93,217,2011,2021
106,137,2022,2019
220,524,2020,2012
216,465,2023,2016
73,406,2022,2015
259,256,2021,2021
105,351,2014,2013
319,589,2018,2013
46,464,2021,2021
92,519,2021,2021
113,295,2021,2015
83,481,2023,2013
520,370,2015,2015
379,527,2014,2013
537,289,2021,2015
114,300,2021,2020
429,225,2022,2018
185,599,2016,2013
417,338,2021,2020
579,410,2023,2021
374,412,2013,2012
241,375,2017,2010
502,105,2015,2014
510,256,2021,2021
577,223,2014,2013
155,152,2017,2014
284,159,2017,2010
161,75,2014,2012
348,271,2014,2014
161,178,2014,2010
168,335,2023,2021
571,374,2014,2013
500,257,2019,2017
367,352,2023,2020
50,418,2021,2021
205,135,2021,2020
384,406,2012,2015
342,67,2012,2011
293,235,2021,2012
306,29,2013,2010
538,467,2019,2019
548,189,2014,2013
334,345,2023,2013
367,383,2023,2016
120,268,2018,2010
230,152,2020,2014
526,243,2017,2013
393,506,2023,2015
65,346,2019,2017
231,545,2015,2015
285,461,2014,2010
241,457,2017,2011
204,294,2021,2020
112,156,2021,2015
255,418,2021,2021
519,448,2021,2021
378,291,2023,2010
592,26,2013,2011
247,147,2019,2010
223,260,2013,2013
434,80,2021,2017
489,538,2021,2019
75,82,2012,2011
574,9,2022,2012
367,588,2023,2016
576,306,2021,2013
380,454,2013,2011
121,571,2016,2014
57,234,2011,2010
85,271,2014,2014
497,196,2023,2011
597,578,2015,2010
381,133,2017,2012
546,389,2018,2012
273,29,2021,2010
132,554,2015,2015
87,536,2013,2012
319,408,2018,2010
93,234,2011,2010
551,201,2019,2014
448,519,2021,2021
334,412,2023,2012
275,590,2015,2010
270,495,2023,2018
33,157,2022,2020
519,217,2021,2021
425,495,2021,2018
44,204,2023,2021
128,310,2020,2010
341,133,2018,2012
532,452,2023,2015
3,260,2013,2013
421,507,2023,2015
486,460,2021,2017
309,494,2018,2012
594,271,2016,2014
80,87,2017,2013
260,223,2013,2013
128,578,2020,2010
43,446,2023,2019
46,233,2021,2014
321,285,2016,2014
464,349,2021,2010
51,361,2021,2021
219,552,2018,2010
55,566,2018,2016
585,426,2019,2018
510,423,2021,2021
390,543,2014,2014
428,254,2017,2010
418,46,2021,2021
484,259,2023,2021
556,536,2018,2012
352,435,2020,2010
473,315,2017,2010
26,134,2011,2010
317,401,2021,2020
250,167,2023,2016
554,545,2015,2015
329,487,2013,2012
