citing_paper_id,cited_paper_id,edge_source,edge_is_biased,citing_publication_year,biased_group_id_x,cited_publication_year,biased_group_id_y
190,70,base,0,2022,-1,2021,-1
513,482,base,0,2014,-1,2010,-1
256,423,bias,1,2021,5,2021,5
76,160,base,0,2023,-1,2012,-1
303,222,base,0,2019,-1,2018,-1
452,353,base,0,2015,-1,2010,-1
249,467,base,0,2021,-1,2019,-1
271,390,bias,1,2014,4,2014,-1
270,118,base,0,2023,-1,2022,-1
211,430,base,0,2019,-1,2010,-1
259,217,bias,1,2021,5,2021,5
277,313,base,0,2013,-1,2011,-1
215,440,base,0,2016,-1,2010,-1
197,408,base,0,2019,-1,2010,-1
51,448,bias,1,2021,3,2021,3
3,422,bias,1,2013,0,2013,-1
594,567,base,0,2016,-1,2012,-1
575,337,base,0,2023,-1,2014,-1
575,278,base,0,2023,-1,2016,-1
16,178,base,0,2017,-1,2010,-1
393,494,base,0,2023,-1,2012,-1
238,53,base,0,2017,-1,2016,-1
122,7,base,0,2018,-1,2016,-1
70,240,base,0,2021,-1,2015,-1
128,324,base,0,2020,-1,2012,-1
312,233,base,0,2016,-1,2014,-1
117,549,base,0,2022,-1,2010,-1
563,286,base,0,2014,-1,2013,-1
46,39,base,0,2021,2,2019,-1
572,324,base,0,2015,-1,2012,-1
562,482,base,0,2016,-1,2010,-1
328,105,base,0,2018,-1,2014,-1
410,52,base,0,2021,-1,2012,-1
359,6,base,0,2023,-1,2014,-1
554,231,bias,1,2015,1,2015,1
566,543,base,0,2016,-1,2014,-1
338,166,base,0,2020,-1,2019,-1
109,435,base,0,2017,-1,2010,-1
391,246,base,0,2016,-1,2010,-1
530,370,base,0,2021,-1,2015,-1
476,452,base,0,2019,-1,2015,-1
499,217,base,0,2015,-1,2021,5
556,386,base,0,2018,-1,2010,-1
425,63,base,0,2021,-1,2019,-1
510,527,base,0,2021,5,2013,-1
109,343,base,0,2017,-1,2012,-1
116,353,base,0,2018,-1,2010,-1
460,379,base,0,2017,-1,2014,-1
108,305,base,0,2014,-1,2012,-1
322,258,base,0,2023,-1,2010,-1
475,577,base,0,2014,4,2014,-1
460,525,base,0,2017,-1,2016,-1
87,254,base,0,2013,-1,2010,-1
431,258,base,0,2023,-1,2010,-1
423,510,bias,1,2021,5,2021,5
74,3,bias,1,2013,0,2013,0
52,258,base,0,2012,-1,2010,-1
239,482,base,0,2020,-1,2010,-1
31,146,base,0,2019,-1,2011,-1
476,262,base,0,2019,-1,2011,-1
484,117,base,0,2023,-1,2022,-1
217,259,bias,1,2021,5,2021,5
46,225,base,0,2021,2,2018,-1
497,29,base,0,2023,-1,2010,-1
20,589,base,0,2014,-1,2013,-1
566,295,base,0,2016,-1,2015,-1
372,381,base,0,2022,-1,2017,-1
509,440,base,0,2021,-1,2010,-1
583,519,bias,1,2021,3,2021,3
236,392,base,0,2019,-1,2015,-1
265,253,base,0,2016,-1,2012,-1
340,136,base,0,2018,-1,2014,-1
290,258,base,0,2020,-1,2010,-1
553,256,base,0,2011,-1,2021,5
584,451,base,0,2021,-1,2011,-1
423,259,bias,1,2021,5,2021,5
141,256,base,0,2021,-1,2021,5
521,409,base,0,2022,-1,2014,-1
464,418,bias,1,2021,2,2021,2
359,457,base,0,2023,-1,2011,-1
58,377,base,0,2013,-1,2010,-1
50,464,bias,1,2021,2,2021,2
480,271,base,0,2022,-1,2014,4
317,572,base,0,2021,-1,2015,-1
592,40,base,0,2013,0,2021,-1
271,214,bias,1,2014,4,2014,4
31,93,base,0,2019,-1,2011,-1
492,218,base,0,2016,-1,2010,-1
42,323,base,0,2023,-1,2019,-1
125,138,base,0,2021,-1,2016,-1
521,505,base,0,2022,-1,2019,-1
473,423,base,0,2017,-1,2021,5
290,80,base,0,2020,-1,2017,-1
223,3,bias,1,2013,0,2013,0
41,179,base,0,2021,-1,2013,-1
231,34,bias,1,2015,1,2015,-1
405,281,base,0,2023,-1,2020,-1
591,233,base,0,2023,-1,2014,-1
279,446,base,0,2020,-1,2019,-1
543,522,base,0,2014,-1,2013,-1
250,415,base,0,2023,-1,2010,-1
466,329,base,0,2022,-1,2013,-1
89,432,base,0,2022,-1,2015,-1
361,519,bias,1,2021,3,2021,3
466,424,base,0,2022,-1,2012,-1
132,406,bias,1,2015,1,2015,1
345,302,base,0,2013,-1,2012,-1
538,557,base,0,2019,-1,2017,-1
2,399,base,0,2022,-1,2015,-1
512,552,base,0,2017,-1,2010,-1
74,592,bias,1,2013,0,2013,0
2,289,base,0,2022,-1,2015,-1
326,247,base,0,2021,-1,2019,-1
114,77,base,0,2021,-1,2010,-1
308,415,base,0,2013,-1,2010,-1
565,300,base,0,2022,-1,2020,-1
583,361,bias,1,2021,3,2021,3
376,447,base,0,2013,-1,2012,-1
102,423,base,0,2018,-1,2021,5
193,244,base,0,2012,-1,2010,-1
