time_period,algorithm,performance,constraint_compute,constraint_memory,constraint_dataset_size,evaluation_protocol
1,ResNet,0.7234,300,8,50000,ImageNet-v1.0
1,VGG,0.6892,280,7.5,50000,ImageNet-v1.0
1,DenseNet,0.7156,320,8.5,50000,ImageNet-v1.0
1,EfficientNet,0.7445,310,8,50000,ImageNet-v1.0
2,ResNet,0.7456,310,8.2,52000,ImageNet-v1.1
2,VGG,0.7012,290,7.8,52000,ImageNet-v1.1
2,DenseNet,0.7389,335,8.8,52000,ImageNet-v1.1
2,EfficientNet,0.7623,325,8.3,52000,ImageNet-v1.1
3,ResNet,0.7589,325,8.5,55000,ImageNet-v1.2
3,VGG,0.7145,305,8.1,55000,ImageNet-v1.2
3,DenseNet,0.7534,350,9.2,55000,ImageNet-v1.2
3,EfficientNet,0.7812,340,8.7,55000,ImageNet-v1.2
4,ResNet,0.7734,340,8.9,58000,ImageNet-v1.3
4,VGG,0.7298,320,8.5,58000,ImageNet-v1.3
4,DenseNet,0.7701,365,9.6,58000,ImageNet-v1.3
4,EfficientNet,0.7989,355,9.1,58000,ImageNet-v1.3
5,ResNet,0.7845,355,9.2,61000,ImageNet-v1.4
5,VGG,0.7423,335,8.8,61000,ImageNet-v1.4
5,DenseNet,0.7856,380,10,61000,ImageNet-v1.4
5,EfficientNet,0.8134,370,9.5,61000,ImageNet-v1.4
